name,view,img,year,info,link
"Kyokugen chikan tokuiten 3 the animation 1","
            88621
        ","https://hentaiz.bot/img/400/2024/11/08/40b914ca1a370a41199547d0c7e76e86efaf2368e1b5e2f7d4f5d509557ecd07.jpg","2024","fudo iori là một nữ học sinh đại học reimeikan đang ở trên một chuyến tàu. bỗng có một tên quấy rối tình dục đến tiếp cận cô. iori cố gắng phản kháng lại nhưng vô ích. và rồi kusakabe kiichi xuất hiện và cứu iori khỏi tên biến thái. nhưng nào ngờ kiichi lại là một kẻ quấy rối khác nhưng lại chuyên nghiệp và điêu luyện hơn. hắn thuộc về tổ chức vatican, một tổ chức chuyên quấy rối tình dục phụ nữ tại những nơi công cộng. hắn đội mũ trùm đầu với đôi mắt sắc sảo có thể nhìn thấu những suy nghĩ bậy bạ phụ nữ cùng kỹ năng tay đặc biệt khiến phụ nữ thích thú. kiichi muốn thu phục iori về cho tổ chức. ","https://e.streamqq.com/videos/672e31c72f0b2550e308077e/play?event_id=player-wrapper"
"Taishou itsuwari bridal migawari hanayome to gunpuku no mou ai 1","
            29907
        ","https://hentaiz.bot/img/400/2025/08/31/4ea20a514500c2404d3038fe2e4c8bdf7f334bc24f869c487c924f01e2a2de78.jpg","2024","vào thời kỳ đại chính tại nhật bản, trong một gia đình có hai chị em. người chị gái tono asako là cô gái nghèo nhưng đầy lòng tự trọng, cô luôn bị cha má đối xử bất công đến cùng cực. asako rất yêu thương cô bồ tono hiroko của mình. vậy nên asako đành chấp nhận thay con bé trở thành cô dâu thay thế trong một cuộc hôn nhân sắp đặt. chú rể kido shintaro của cô là một quân nhân tài giỏi nhưng lạnh lùng, mang trong lòng những tổn thương và bí mật riêng. ban đầu, cuộc hôn nhân này chỉ là một giao dịch mang tính hình thức để bảo vệ phổ biến của gia đình. tuy nhiên, sự gợi cảm giữa hai người dần nảy sinh, dẫn đến một mối chịch phức tạp giữa lòng trung thành, trách nhiệm và tình yêu. nhưng liệu đó chỉ là một đám cưới giả, hay tất cả đều là kế hoạch của shintaro... ","https://e.streamqq.com/videos/68b525c683911575000132f2/play?event_id=player-wrapper"
"Iribitari gal ni manko tsukawasete morau hanashi 1","
            588869
        ","https://hentaiz.bot/img/400/2024/10/15/009c7e20c4b8967a96182f99ab8424f5a664eb32e2fdc85776f70f949ca99f60.jpg","2024","otaku là một nam sinh rất mê đọc truyện. ba tháng trước, trong một lần ngồi đọc trong lớp thì cậu được một cô bạn học lạnh lùng tên kuroda đến gần tiếp cận. kuroda muốn đến nhà otaku để đọc các bộ truyện mà cô thích. trong lúc đọc truyện otaku có thỉnh cầu kuroda cho cậu nghịch âm hộ trong lúc đọc và cô cũng thoải mái cho phép. dù kuroda có cố lạnh lùng tỏ ra không phê cách mấy, thì otaku cũng dần dần chinh phục được người phụ nữ bên trong kuroda... ","https://e.streamqq.com/videos/670e7f7b300c3c26f00a33d3/play?event_id=player-wrapper"
"Shinsei kourin dacryon luna 2","
            7860
        ","https://hentaiz.bot/img/400/2025/08/14/6ce634309723b904a82d36422abe3fe0bb2829303e73232cafdad0d891234895.jpg","2024","tại học viện tư thục tên étoile câu lạc bộ báo chí gồm ba nữ học sinh runa, reina và kaiyu. một hôm họ tụ họp trong phòng và vô tình kích hoạt một ứng dụng tên &#34;angel maker&#34; đầy tai tiếng. đó chính là khởi đầu của một bi kịch khủng khiếp. ba cô gái buộc phải biến thân thành ma pháp thiếu nữ dakryuon để chiến đấu chống lại những sinh vật dị dạng. chúng là những sinh vật khổng lồ cùng bộ xúc tua kỳ dịch rất động dục. cả ba bị không chế và ép làm tình bởi đống xúc tua đó. đúng lúc đó, một ma pháp thiếu nữ khác tên erika bất ngờ xuất hiện để giải nguy. erika cảnh báo rằng nếu họ tiếp tục biến thân thành dakryuon để chiến đấu, họ sẽ trở thành mục tiêu của đám yêu quái. hóa ra, ứng dụng angel maker đã bị nguyền rủa bởi một thiên thần sa ngã. erika đối đầu với đội quân hung bạo do thiên thần sa ngã dẫn đầu, nhưng trái tim cô cuối cùng cũng bị tan vỡ... ","https://e.streamqq.com/videos/689e18abe9d03b86a10a305b/play?event_id=player-wrapper"
"Fleur the animation 2","
            76362
        ","https://hentaiz.bot/img/400/2025/02/11/fea626dcac8d267847206790fc6ac6eaeaf0c1d9c2f0c84174729f68275afc25.jpg","2024","phần 1: hoạ sĩ manga khiêu dâm ohana bất ngờ nhận được đề nghị chuyển thể tựa manga của anh thành phim người lớn. ohana cùng với cô trợ lý shinonome hấp dẫn đi đến trường quay và anh bất ngờ hội ngộ người bạn cũ minami yuka. yuka là nữ diễn viên người lớn tại trường quay và cũng là người ohana từng yêu thầm. và khi thấy người mình từng yêu cuốn hút như vậy, thì như thói quen ohana lại lén vào phòng tắm để... và anh vô tình bắt gặp cảnh yuka đang thẩm du trên bồn tiểu... phần 2: nanri satsuki hoạ sĩ truyện tranh nổi tiếng và cũng chính là cô giáo dạy vẽ của ohana. ohana từng làm người mẫu để cô satsuki vẽ. cô satsuki thường dùng &#34;tư liệu&#34; của ohana để vẽ. satsuki tụt quần ohana và bất ngờ nện bằng miệng. mặc cho ohana đã bắn tinh, nhưng satsuki vẫn nhảy lên cưỡi nó trong sự bất khả kháng của ohana. ","https://e.streamqq.com/videos/67aaf9b5790342d4fc055092/play?event_id=player-wrapper"
"Iribitari gal ni manko tsukawasete morau hanashi 2","
            348857
        ","https://hentaiz.bot/img/400/2024/10/29/3f5c83543ba5012b973014e6c192f4edb30c9b58d5c160073837079655b6c36d.jpg","2024","sau khi kuroda dự một bữa tiệc vào đêm muộn. cứ ngỡ toàn trai đẹp ở đó, ai ngờ toàn háo sắc với không đâu vào đâu. kuroda bỗng đến nhà otaku để giải toả ấm ức, nhưng thay vì để otaku sàm sỡ mình như mọi khi thì kuroda đã chủ động hơn với otaku... ","https://e.streamqq.com/videos/67210e05af1ed94c340b93c3/play?event_id=player-wrapper"
"Kyokugen chikan tokuiten 3 the animation 2","
            42697
        ","https://hentaiz.bot/img/400/2025/01/08/0a92148a5d7b6d431e055a6eab7d70d70cd2a24e97696c5ac7ac2663d48c6897.jpg","2024","hosho rimika là một streamer nổi tiếng chuyên về nội dung khiêu dâm và kích động. cô lên một chuyến tàu và phát sóng trực tiếp tại đó. rimika mạnh mồm khiêu khích những kẻ quấy rối tình dục phụ nữ là &#34;những lũ cặn bã hãy đi chết đi&#34;. trong khi cô đang thực hiện một buổi phát sóng nữa trên tàu thì kusakabe kiichi bỗng xuất hiện và tiếp cận cô. kiichi nhìn thấy được mong muốn được quấy rối tình dục của rimika và sẽ thực hiện mong muốn đó cho cô... ","https://e.streamqq.com/videos/677e4e8b0fde10c1070da673/play?event_id=player-wrapper"
"Ateuma chara no kuse shite, super darling ouji ni chouai sareteimasu 1","
            122511
        ","https://hentaiz.bot/img/400/2025/02/01/c6f9d12c48526d35112f31822a3753f0822003b2b3fbee7b6ed3f6f181d284d7.jpg","2024","câu chuyện về chàng trai ronil ở thế giới thực rất mê bộ tiểu thuyết về chuyện tình giữa hoàng tử alec và công chúa lily. không ngờ một ngày roni bị truck-kun tông cho isekai vào một thế giới truyền thuyết ấy và anh phải làm nhân vật phụ trong thế giới đó. ronil khi tái sinh đã vô tình phạm phải trọng tội với công chúa lily nhưng bị hoàng tử alec đẹp trai ngăn cản. ronil phải luôn cố tránh mặt chàng hoàng tử alec, nhưng lại bị hoàng tử tiếp cận tỏ tình. trước khi ronil kịp từ chối, anh ta đã làm cậu bắn tùm lum. ronil không ngờ hoàng tử trong thế giới này lại khác hoàn toàn so với tiểu thuyết khi anh đem lòng yêu một kẻ uất ơ như cậu chứ không phải công chúa. ","https://e.streamqq.com/videos/679dacaf9860fa32e506f2d2/play?event_id=player-wrapper"
"Shounen ga otona ni natta natsu 3","
            168896
        ","https://hentaiz.bot/img/400/2024/12/25/220ad2c1d1eb5bf41fbdd2796acf351a2040daaf7220616e59594190d33bd8d1.jpg","2024","sau buổi thác loạn với nữ diễn viên khiêu dâm kiriru tại con suối. ryuuki cùng đám bạn vui vẻ ra về nhưng nào ngờ bị cô lớp trưởng ueno chiaki phát hiện ra. kể từ đó chiaki luôn giám sát mọi nhất cử nhất động của ryuuki. và rồi sau một trận đấu bóng đá chiaki đã bắt gặp ryuuki cùng kiriru đang &#34;đi ngoài&#34;. chiaki muốn chiến thắng thử thách của kiriru để đoạt được danh hiệu bồ của ryuuki. ","https://e.streamqq.com/videos/676d2783ccb62b8909063523/play?event_id=player-wrapper"
"Gomu o tsukete to iimashita yo ne... 1","
            92782
        ","https://hentaiz.bot/img/400/2024/12/26/9d27aaab397a53b648fa5d85e5ae6569a1b364d01434c4a563b4fb870ca0ac68.jpg","2024","tiếp tục với loạt phim này, cô gái đã từng cuốn hút main tại bãi biển ở tập trước nay đã thành đôi với main. vào một ngày, cô gái đó phải về nhà gấp và người tình của lồn là nanami ghé nhà anh chơi. nanami là cô gái lạnh lùng sở hữu thân hình bụ bẫm cùng bộ ngực khủng. bị em người yêu cấm thẩm du lúc vắng mặt, main liền cương của quý trước nanami khiến con bé phát hiện. nanami cũng hiểu ý muốn giúp main giải toả. nanami bảo anh có thể chà chim lên quần lót hoặc nhét vào nách của cô nhưng không được nhét nó vào trong cô bé mình. đang thực hiện thì main không kiềm chế được nên đã tự ý nhét dương vật vào trong âm đạo nanami mà không đeo bao. ban đầu nanami có chống cự nhưng không biết sao lại thấy khoái lạ thường. cô dễ dàng bị cuốn đi và cuói cùng bị main phun sữa đặc dịch lên chiếc điện thoại quý giá... ","https://e.streamqq.com/videos/676d2d9bccb62b8909063524/play?event_id=player-wrapper"
