id,title,originalTitle,category,videoLink,filePath
cuongthibiendi,Cương Thi Biến Dị,Cương Thi Biến Dị,lamchanhanh,https://helvid.com/play/index/9daddc201158,phimle-master\lamchanhanh\cuongthibiendi.html
cuongthidaumacarong,Cương Thi Đấu Ma Cà Rồng,Cương Thi Đấu Ma Cà Rồng,lamchanhanh,https://helvid.com/play/index/06f9970ec39b,phimle-master\lamchanhanh\cuongthidaumacarong.html
cuongthigiatoc,Cương Thi Gia Tộc,Cương Thi Gia Tộc,lamchanhanh,https://helvid.com/play/index/b782f1de1fd0,phimle-master\lamchanhanh\cuongthigiatoc.html
cuongthitiensinh,Cương Thi Tiên Sinh 1985,Cương Thi Tiên Sinh 1985,lamchanhanh,https://helvid.com/play/index/7ae9c9c50cdb,phimle-master\lamchanhanh\cuongthitiensinh.html
cuongthivatcuongthi1,Cương Thi Vật Cương Thi 1,Cương Thi Vật Cương Thi,lamchanhanh,https://helvid.com/play/index/e466fd51caac,phimle-master\lamchanhanh\cuongthivatcuongthi1.html
daccanhdietma,Đặc Cảnh Diệt Ma,Đặc Cảnh Diệt Ma,lamchanhanh,https://helvid.com/play/index/63a6bbfc8fd3,phimle-master\lamchanhanh\daccanhdietma.html
giatoccuongthi,Gia Tộc Cương Thi,Gia Tộc Cương Thi,lamchanhanh,https://helvid.com/play/index/1498b56bf9dd,phimle-master\lamchanhanh\giatoccuongthi.html
khumadaotruong,Khử ma Đạo Trưởng,Khử ma Đạo Trưởng,lamchanhanh,https://helvid.com/play/index/ab93eb11a8cd,phimle-master\lamchanhanh\khumadaotruong.html
macaychuoi,Ma Cây Chuối,Ma Cây Chuối,lamchanhanh,https://helvid.com/play/index/d1a101b9216d,phimle-master\lamchanhanh\macaychuoi.html
tanquynhaptrang,Tân Quỷ Nhập Tràng,Tân Quỷ Nhập Tràng,lamchanhanh,https://helvid.com/play/index/b175a86c9dbc,phimle-master\lamchanhanh\tanquynhaptrang.html
thiensubatma,Thiên Sứ Bắt Ma 3,Thiên Sứ Bắt Ma 3,lamchanhanh,https://helvid.com/play/index/1a30f6f21ee9,phimle-master\lamchanhanh\thiensubatma.html
