id,title,originalTitle,category,videoLink,filePath
bacsicuunon,Bác Sĩ Cừu Non,Bác Sĩ Cừu Non,capba,https://voe.sx/e/uxsl3fml82dp,phimle-master\capba\bacsicuunon.html
bimatchotinh,Bí Mật Chợ Tình,Bí Mật Chợ Tình,capba,https://voe.sx/e/exlh4bci0bl9,phimle-master\capba\bimatchotinh.html
canphongphiatay,Căn Phòng Phía Tây,Căn Phòng Phía Tây,capba,https://voe.sx/e/eptzxawcf6wd,phimle-master\capba\canphongphiatay.html
chungculiepsat,Chung Cư Liệp Sát,Chung Cư Liệp Sát,capba,https://voe.sx/e/biwti2furdg7,phimle-master\capba\chungculiepsat.html
cucdothutinh,Cực Độ Thú Tính,Cực Độ Thú Tính,capba,https://voe.sx/e/ttzg7knxp3jd,phimle-master\capba\cucdothutinh.html
dietmonthaman1,Diệt Môn Thảm Án 1,Diệt Môn Thảm Án,capba,https://voe.sx/e/mk3h1peqivtq,phimle-master\capba\dietmonthaman1.html
honmatraitunu,Hồn Ma Trại Tù Nữ,Hồn Ma Trại Tù Nữ,capba,https://voe.sx/e/by2swvtrty3z,phimle-master\capba\honmatraitunu.html
khatkhaothamkin,Khát Khao Thầm Kín,Khát Khao Thầm Kín,capba,https://voe.sx/e/e5ehddfuw6w3,phimle-master\capba\khatkhaothamkin.html
khitraidaochin,Khi Trái Đào Chín,Khi Trái Đào Chín,capba,https://voe.sx/e/rmaurmsyjswc,phimle-master\capba\khitraidaochin.html
kimbinhmai2008,Kim Bình Mai 2008,Kim Bình Mai 2008,capba,https://voe.sx/e/reuaejasq0f6,phimle-master\capba\kimbinhmai2008.html
kimbinhmai1,Kim Bình Mai,Kim Bình Mai,capba,https://voe.sx/e/aq5dhdkdudjw,phimle-master\capba\kimbinhmai1.html
kimbinhphongnguyet,Kim Bình Phong Nguyệt,Kim Bình Phong Nguyệt,capba,https://voe.sx/e/pzmkmkeybdpb,phimle-master\capba\kimbinhphongnguyet.html
kimbinhsongdiem,Kim Bình Song Diễm,Kim Bình Song Diễm,capba,https://voe.sx/e/u2mxnk7h6tog,phimle-master\capba\kimbinhsongdiem.html
lieutraichidi1,Liêu Trai Chí Dị 1,Liêu Trai Chí Dị 1,capba,https://voe.sx/e/l68t2rcvk1u7,phimle-master\capba\lieutraichidi1.html
mynhannguoimay,Mỹ Nhân Người Máy,Mỹ Nhân Người Máy,capba,https://voe.sx/e/3pv0w1ul4r6q,phimle-master\capba\mynhannguoimay.html
namduongthapdaitathuat,Nam Dương Thập Đại Tà Thuật,Nam Dương Thập Đại Tà Thuật,capba,https://voe.sx/e/481hrwcdyb32,phimle-master\capba\namduongthapdaitathuat.html
nhucbodoan3dainoimattham,Nhục Bồ Đoàn 3 Đại Nội Mật Thám,Nhục Bồ Đoàn 3 Đại Nội Mật Thám,capba,https://voe.sx/e/ujsnt4tck3y0,phimle-master\capba\nhucbodoan3dainoimattham.html
nhucbodoan1987,Nhục Bồ Đoàn 1987,Nhục Bồ Đoàn 1987,capba,https://voe.sx/e/03vvdchc1wzo,phimle-master\capba\nhucbodoan1987.html
nhucbodoan1991,Nhục Bồ Đoàn 1991,Nhục Bồ Đoàn 1991,capba,https://voe.sx/e/8lhm0q6hdhqu,phimle-master\capba\nhucbodoan1991.html
nhucbodoan1996,Nhục Bồ Đoàn 1996,Nhục Bồ Đoàn 1996,capba,https://voe.sx/e/325tzfzvnvxj,phimle-master\capba\nhucbodoan1996.html
nutubinh,Nữ Tù Bình,Nữ Tù Bình,capba,https://voe.sx/e/rmaurmsyjswc,phimle-master\capba\nutubinh.html
phanhongnhan,Phận Hồng Nhan,Phận Hồng Nhan,capba,https://voe.sx/e/eroj1qwrbtdt,phimle-master\capba\phanhongnhan.html
phankimliendiban,Phan Kim Liên Dị Bản,Phan Kim Liên Dị Bản,capba,https://voe.sx/e/myooboehlf1z,phimle-master\capba\phankimliendiban.html
thanhcung13trieu,Thanh Cung 13 Triều,Thanh Cung 13 Triều,capba,https://voe.sx/e/cu3sbdiuziye,phimle-master\capba\thanhcung13trieu.html
thieunuphankimlien,Thiếu Nữ Phan Kim Liên,Thiếu Nữ Phan Kim Liên,capba,https://voe.sx/e/zllnudvfi26h,phimle-master\capba\thieunuphankimlien.html
thuyhutruyenanhhunghaosac,Thuỷ Hử Truyện Anh Hùng Háo Sắc,Thuỷ Hử Truyện Anh Hùng Háo Sắc,capba,https://voe.sx/e/y5butwsqvgbr,phimle-master\capba\thuyhutruyenanhhunghaosac.html
tientraochaomuc,Tiền Trao Cháo Múc,Tiền Trao Cháo Múc,capba,https://voe.sx/e/lxmekxynzvvk,phimle-master\capba\tientraochaomuc.html
tinhngaydai,Tình Ngây Dại,Tình Ngây Dại,capba,https://helvid.com/play/index/cfc40d76ba33,phimle-master\capba\tinhngaydai.html
traichinthihai,Trái Chín Thì Hái,Trái Chín Thì Hái,capba,https://voe.sx/e/4xnmsehoe4b1,phimle-master\capba\traichinthihai.html
