id,title,originalTitle,category,videoLink,filePath
banlinhdanong,Bản Lĩnh Đàn Ông,Bản Lĩnh Đàn Ông,thanhlong,https://vk.com/video_ext.php?oid=834137738&id=456239170&hd=2,phimle-master\thanhlong\banlinhdanong.html
cauchuyencanhsat,Câu Chuyện Cảnh Sát,Câu Chuyện Cảnh Sát,thanhlong,https://helvid.com/play/index/28c7c4c31a91,phimle-master\thanhlong\cauchuyencanhsat.html
changtraitotbung,Chàng Trai Tốt Bụng,Chàng Trai Tốt Bụng,thanhlong,https://helvid.com/play/index/87a9240d9b14,phimle-master\thanhlong\changtraitotbung.html
daolua,Đảo Lửa,Đảo Lửa,thanhlong,https://helvid.com/play/index/4ba44cf9aaa3,phimle-master\thanhlong\daolua.html
ditimbaokiem,Đi Tìm Bảo Kiếm,Đi Tìm Bảo Kiếm,thanhlong,https://helvid.com/play/index/b1fa39867fbb,phimle-master\thanhlong\ditimbaokiem.html
hiepsythuonghai,Hiệp Sĩ Thượng Hải,Hiệp Sĩ Thượng Hải,thanhlong,https://helvid.com/play/index/a95dd32954f2,phimle-master\thanhlong\hiepsythuonghai.html
kehoacha1,Kế Hoạch A1,Kế Hoạch A1,thanhlong,https://helvid.com/play/index/46d2e9e78a33,phimle-master\thanhlong\kehoacha1.html
kehoachbaby,Kế Hoạch Baby,Kế Hoạch Baby,thanhlong,https://helvid.com/play/index/6f57ae535a08,phimle-master\thanhlong\kehoachbaby.html
kehoachphiung,Kế Hoạch Phi Ưng,Kế Hoạch Phi Ưng,thanhlong,https://helvid.com/play/index/fdcafd23d49e,phimle-master\thanhlong\kehoachphiung.html
kytich,Kỳ Tích,Kỳ Tích,thanhlong,https://helvid.com/play/index/6f6cd2dc8f03,phimle-master\thanhlong\kytich.html
longcongtu,Long Công Tử,Long Công Tử,thanhlong,https://helvid.com/play/index/6be8ea271433,phimle-master\thanhlong\longcongtu.html
ngoisaomaiman,Ngôi Sao Mai Mắn,Ngôi Sao Mai Mắn,thanhlong,https://helvid.com/play/index/88ef7318e932,phimle-master\thanhlong\ngoisaomaiman.html
phichlichhoa,Phích Lịch Hoả,Phích Lịch Hoả,thanhlong,https://helvid.com/play/index/f1dff3daae1e,phimle-master\thanhlong\phichlichhoa.html
phidoquyenvanson,Phi Độ Quyền Vân Sơn,Phi Độ Quyền,thanhlong,https://helvid.com/play/index/443141ba3749,phimle-master\thanhlong\phidoquyenvanson.html
rongbattu,Rồng Bất Tử,Rồng Bất Tử,thanhlong,https://vk.com/video_ext.php?oid=834137738&id=456239187&hd=2,phimle-master\thanhlong\rongbattu.html
rongsinhdoi,Rồng Sinh Đôi,Rồng Sinh Đôi,thanhlong,https://helvid.com/play/index/be46057d1f6d,phimle-master\thanhlong\rongsinhdoi.html
thosanthanhpho,Thợ Săn Thành Phố,Thợ Săn Thành Phố,thanhlong,https://helvid.com/play/index/5da4f1c76b7f,phimle-master\thanhlong\thosanthanhpho.html
toilaai,Tôi Là Ai,Tôi Là Ai,thanhlong,https://helvid.com/play/index/05187f8ebba3,phimle-master\thanhlong\toilaai.html
traitimcuarong,Trái Tim Của Rồng,Trái Tim Của Rồng,thanhlong,https://helvid.com/play/index/157292ad677e,phimle-master\thanhlong\traitimcuarong.html
truathuonghai,Thần Thoại,Thần Thoại,thanhlong,https://helvid.com/play/index/be46057d1f6d,phimle-master\thanhlong\truathuonghai.html
tuyquyen1,Tuý Quyền 1,Tuý Quyền,thanhlong,https://helvid.com/play/index/087644ec2997,phimle-master\thanhlong\tuyquyen1.html
xahinhdieuthu,Xà Hình Điêu Thủ,Xà Hình Điêu Thủ,thanhlong,https://helvid.com/play/index/008f6fa91540,phimle-master\thanhlong\xahinhdieuthu.html
