id,title,originalTitle,category,actor,videoLink,filePath
pvctt,Phỏng Vấn Tinh Gia 2004,Phỏng Vấn Tinh Gia 2004,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/00e1c83f3b75,phimle-master\chautinhtri\pvctt.html
cscb1,Cuộc Sống Công Bằng,Cuộc Sống Công Bằng,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/c7a2a4807604,phimle-master\chautinhtri\cscb1.html
hauvuong,Hầu Vương – The Monkey King,Hầu Vương,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/4130f3c457a1,phimle-master\chautinhtri\hauvuong.html
taydukiMoitinhngoaitruyen2,Tây Du - Phục Ma Thiên,Tây Du - Phục Ma Thiên,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/2ea134250009,phimle-master\chautinhtri\taydukiMoitinhngoaitruyen2.html
mynhanngu,Mỹ Nhân Ngư,Mỹ Nhân Ngư,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/16b2397d592c,phimle-master\chautinhtri\mynhanngu.html
tanvuahaikich,Tân Vua Hài Kịch,Tân Vua Hài Kịch,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/1bc276aed009,phimle-master\chautinhtri\tanvuahaikich.html
taydukiMoitinhngoaitruyen1,Tây Du - Hàng Ma Thiên,Tây Du - Hàng Ma Thiên,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/f1b975b5c894,phimle-master\chautinhtri\taydukiMoitinhngoaitruyen1.html
cj7,Siêu Khuyển Thần Thông,Siêu Khuyển Thần Thông,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/3637e3614ca7,phimle-master\chautinhtri\cj7.html
tuyetdinhkungfu,Tuyệt Đỉnh Kungfu,Tuyệt Đỉnh Kungfu,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/c752d58ab1d2,phimle-master\chautinhtri\tuyetdinhkungfu.html
doibongthieulam,Đội Bóng Thiếu Lâm,Đội Bóng Thiếu Lâm,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/ae7adb0b0c94,phimle-master\chautinhtri\doibongthieulam.html
bipvuong2000,Bịp Vương 2000,Bịp Vương 2000,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/328c5464e299,phimle-master\chautinhtri\bipvuong2000.html
vuahaikich,Vua Hài Kịch,Vua Hài Kịch,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/64ab4ab1cd89,phimle-master\chautinhtri\vuahaikich.html
hoangtubanhtrung,Hoàng Tử Bánh Trứng,Hoàng Tử Bánh Trứng,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/51156969b496,phimle-master\chautinhtri\hoangtubanhtrung.html
trangsuxaoquyet,Trạng Sư Trần Mộng Cát,Trạng Sư Trần Mộng Cát,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/2f87914d01e7,phimle-master\chautinhtri\trangsuxaoquyet.html
giahuuhysu1,Gia Hữu Hỷ Sự 1,Gia Hữu Hỷ Sự 1,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/731a185047d2,phimle-master\chautinhtri\giahuuhysu1.html
thanan,Thần Ăn,Thần Ăn,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/261cc925f85e,phimle-master\chautinhtri\thanan.html
dainoimattham,Đại Nội Mật Thám,Đại Nội Mật Thám,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/1c4103ee7075,phimle-master\chautinhtri\dainoimattham.html
chuyengiabatma,Chuyên Gia Bắt Ma,Chuyên Gia Bắt Ma,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/b0e2461769c7,phimle-master\chautinhtri\chuyengiabatma.html
bachbientinhquan,Bách Biến Tinh Quân,Bách Biến Tinh Quân,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/b532283f3bb7,phimle-master\chautinhtri\bachbientinhquan.html
tayduki1,Phần 1 - Nguyệt Quang Bảo Hợp,Phần 1 - Nguyệt Quang Bảo Hợp,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/31d73d3c8f58,phimle-master\chautinhtri\tayduki1.html
quocsan007,Quốc Sản 007,Quốc Sản 007,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/84e8d2b8a3aa,phimle-master\chautinhtri\quocsan007.html
vuphahoai,Vua Phá Hoại,Vua Phá Hoại,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/17322f16fad1,phimle-master\chautinhtri\vuphahoai.html
quanxamloccoc,Quan Xẩm Lốc Cốc,Quan Xẩm Lốc Cốc,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/1c40145ae304,phimle-master\chautinhtri\quanxamloccoc.html
duongbaho,Đường Bá Hổ Điểm Thu Hương,Đường Bá Hổ Điểm Thu Hương,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/83867fd69e11,phimle-master\chautinhtri\duongbaho.html
tecong,Tế Công,Tế Công,chautinhtri,Châu Tinh Trì,https://helvid.com/play/index/3f7602850bdb,phimle-master\chautinhtri\tecong.html
