id,title,originalTitle,videoLink,filePath
chienlangtruyenthuyet,Chiến Lang Truyền Thuyết,Chiến Lang Truyền Thuyết,https://helvid.com/play/index/c482ad9df7e6,phimle-master\chungtudon\chienlangtruyenthuyet.html
daccanhachau,Đặc Cảnh Á Châu,Đặc Cảnh Á Châu,https://helvid.com/play/index/287553d1a0fb,phimle-master\chungtudon\daccanhachau.html
dongtienden,Đồng Tiền Đen,Đồng Tiền Đen,https://helvid.com/play/index/20f5b49ac8e9,phimle-master\chungtudon\dongtienden.html
duongsondaihuynh,Tân Đường Sơn Đại Huynh,Tân Đường Sơn Đại Huynh,https://helvid.com/play/index/5be2a77ce8d0,phimle-master\chungtudon\duongsondaihuynh.html
huyenthoaitranchan,Huyền Thoại Trần Chân,Huyền Thoại Trần Chân,https://helvid.com/play/index/53f6394b6ac4,phimle-master\chungtudon\huyenthoaitranchan.html
liepbaohanhdong,Liệp Báo Hành Động,Liệp Báo Hành Động,https://helvid.com/play/index/aa2f4431ee12,phimle-master\chungtudon\liepbaohanhdong.html
mahycuongphong,Mã Hí Cuồng Phong,Mã Hí Cuồng Phong,https://helvid.com/play/index/72120edee7ec,phimle-master\chungtudon\mahycuongphong.html
nohaiuylong,Nộ Hải Uy Long,Nộ Hải Uy Long,https://helvid.com/play/index/a70ed396452f,phimle-master\chungtudon\nohaiuylong.html
satphalang,Sát Phá Lang,Sát Phá Lang,https://helvid.com/play/index/259b00f7f01e,phimle-master\chungtudon\satphalang.html
tanlongmonkhachsan,Tân Long Môn Khách Sạn,Tân Long Môn Khách Sạn,https://helvid.com/play/index/6ea7310c20f9,phimle-master\chungtudon\tanlongmonkhachsan.html
thiethautu1,Thiết Hầu Tử 1993,Thiết Hầu Tử 1993,https://helvid.com/play/index/99812577f4f2,phimle-master\chungtudon\thiethautu1.html
thiethautu2,Thiết Hầu Tử 1996,Thiết Hầu Tử 1996,https://helvid.com/play/index/b92268973650,phimle-master\chungtudon\thiethautu2.html
tuyquyentokhatnhi,Tuý Quyền Tô Khất Nhi,Tuý Quyền Tô Khất Nhi,https://helvid.com/play/index/17ad5a7ca0ed,phimle-master\chungtudon\tuyquyentokhatnhi.html
vinhxuanquyen,Vịnh Xuân Quyền,Vịnh Xuân Quyền,https://helvid.com/play/index/40b3b5d5f97a,phimle-master\chungtudon\vinhxuanquyen.html
