id,title,originalTitle,videoLink,filePath
canvetrungnamhai,Cận Vệ Trung Nam Hải,Cận Vệ Trung Nam Hải,https://helvid.com/play/index/f2b7fa2169a2,phimle-master\lylienkiet\canvetrungnamhai.html
hachiep,Hắc Hiệp,Hắc Hiệp,https://voe.sx/e/xldsvbmcnvrd,phimle-master\lylienkiet\hachiep.html
hoangphihong_tayvuchungsu,Hoàng Phi Hồng - Tây Vực Hùng Sư 1997,Hoàng Phi Hồng- Tây Vực Hùng Sư 1997,https://helvid.com/play/index/ae04586aa9d3,phimle-master\lylienkiet\hoangphihong_tayvuchungsu.html
hoangphihong1,Hoàng Phi Hồng Phần 1,Hoàng Phi Hồng Phần 1,https://player.vimeo.com/video/868362761,phimle-master\lylienkiet\hoangphihong1.html
honghyquan,Hồng Hy Quan,Hồng Hy Quan,https://helvid.com/play/index/6cd1f0969a3f,phimle-master\lylienkiet\honghyquan.html
lathugoiphuthan,Lá Thư Gởi Cha,Lá Thư Gởi Cha,https://helvid.com/play/index/c2e44683471c,phimle-master\lylienkiet\lathugoiphuthan.html
longhanhthienha,Lộng Hành Thiên Hạ,Lộng Hành Thiên Hạ,https://helvid.com/play/index/1aee1468f601,phimle-master\lylienkiet\longhanhthienha.html
phuongthengoc1,Phương Thế Ngọc 1 1993,Phương Thế Ngọc 1993,https://helvid.com/play/index/4c9385eb860a,phimle-master\lylienkiet\phuongthengoc1.html
rongquyetdau,Long Tại Thiên Nhai,Long Tại Thiên Nhai,https://helvid.com/play/index/4b9f275363ec,phimle-master\lylienkiet\rongquyetdau.html
satthubavuong,Sát Thủ Bá Vương,Sát Thủ Bá Vương,https://helvid.com/play/index/3f65c8011b5d,phimle-master\lylienkiet\satthubavuong.html
thaicuctruongtamphong,Thái Cực Trương Tam Phong 1993,Thái Cực Trương Tam Phong 1993,https://helvid.com/play/index/88cdf1e4cfa3,phimle-master\lylienkiet\thaicuctruongtamphong.html
thankedaungocong,Thần Kê Đấu Ngô Công,Thần Kê Đấu Ngô Công,https://voe.sx/e/3frc6z1lkcyh,phimle-master\lylienkiet\thankedaungocong.html
thieulamtieutu,Thiếu Lâm Tiểu Tử 1984,Thiếu Lâm Tiểu Tử 1984,https://helvid.com/play/index/6012baa6bd2e,phimle-master\lylienkiet\thieulamtieutu.html
thieulamtu1982,Thiếu Lâm Tự 1982,Thiếu Lâm Tự 1982,https://helvid.com/play/index/c29388672cfa,phimle-master\lylienkiet\thieulamtu1982.html
thudamuylong,Thử Đảm Uy Long,Thử Đảm Uy Long,https://helvid.com/play/index/fc2bd18bcc86,phimle-master\lylienkiet\thudamuylong.html
tinvoanhhung,Tinh Võ Anh Hùng,Tinh Võ Anh Hùng,https://voe.sx/e/zaji5xqcpkbf,phimle-master\lylienkiet\tinvoanhhung.html
tieungaogiangho,Tiếu Ngạo Giang Hồ,Tiếu Ngạo Giang Hồ,https://helvid.com/play/index/53a99976e590,phimle-master\lylienkiet\tieungaogiangho.html
vuamaohiem,Vua Mạo Hiểm,Vua Mạo Hiểm,https://helvid.com/play/index/05702e72ca8b,phimle-master\lylienkiet\vuamaohiem.html
ythiendolongky,Ỷ Thiên Đồ Long Ký 1993,Ỷ Thiên Đồ Long Ký 1993,https://helvid.com/play/index/8b597389bc6b,phimle-master\lylienkiet\ythiendolongky.html
