id,title,originalTitle,videoLink,filePath
spiderman1,Người Nhện 2002,Người Nhện Tobey Maguire,https://helvid.com/play/index/63ca5cf02c32,phimle-master\tonghop\spiderman1.html
conan26tm,Conan Tàu Ngầm Sắt Màu Đen,Conan Tàu Ngầm Sắt Màu Đen,https://helvid.com/play/index/88192fe1e0ec,phimle-master\tonghop\conan26tm.html
anhhungbansac3,Anh Hùng bản Sắc 3,Anh Hùng bản Sắc 3,https://helvid.com/play/index/30eb85f26e48,phimle-master\tonghop\anhhungbansac3.html
changiauylong,Chân Giả Uy Long,Chân Giả Uy Long,https://helvid.com/play/index/17fa8f61af4c,phimle-master\tonghop\changiauylong.html
chienbinhhoanggia,Chiến Binh Hoàng Gia,Chiến Binh Hoàng Gia,https://streamtape.com/e/dRkyPAd3yGTko01/,phimle-master\tonghop\chienbinhhoanggia.html
chienthantruyenthuyet,Lạt Thủ Thần Thám,Lạt Thủ Thần Thám,https://helvid.com/play/index/c9f778d95d57,phimle-master\tonghop\chienthantruyenthuyet.html
daimauhiemgia,Đại Mạo Hiểm Gia,Đại Mạo Hiểm Gia,https://helvid.com/play/index/71a9c475a811,phimle-master\tonghop\daimauhiemgia.html
duongsondaihuynh,Đường Sơn Đại Huynh,Đường Sơn Đại Huynh,https://helvid.com/play/index/66e4b234e624,phimle-master\tonghop\duongsondaihuynh.html
gianghotamhiep,Giang Hồ Tam Hiệp,Giang Hồ Tam Hiệp,https://helvid.com/play/index/516107185e7e,phimle-master\tonghop\gianghotamhiep.html
giotmaucuoicung,Giọt Máu Cuối Cùng,Giọt Máu Cuối Cùng,https://helvid.com/play/index/3883dcf5bd83,phimle-master\tonghop\giotmaucuoicung.html
hacmieu,Hắc Miêu,Hắc Miêu,https://voe.sx/e/sneeldcujn9o,phimle-master\tonghop\hacmieu.html
hoanggiasuty,Hoàng Gia Sư Tỉ,Hoàng Gia Sư Tỉ,https://helvid.com/play/index/c7e906ef8747,phimle-master\tonghop\hoanggiasuty.html
honghyquan,Hồng Hy Quan,Hồng Hy Quan,https://helvid.com/play/index/3f148ec20007,phimle-master\tonghop\honghyquan.html
hongtruongphilong,Hồng Trường Phi Long,Hồng Trường Phi Long,https://helvid.com/play/index/8d2c7ada8d21,phimle-master\tonghop\hongtruongphilong.html
khachsanhoabinh,Khách Sạn Hoà Bình,Khách Sạn Hoà Bình,https://helvid.com/play/index/549be2c942db,phimle-master\tonghop\khachsanhoabinh.html
laohoxuatsoa,Lão Hổ Xuất Soa,Lão Hổ Xuất Soa,https://helvid.com/play/index/102a85e25e6a,phimle-master\tonghop\laohoxuatsoa.html
latmat6,Lật Mặt 6,Lật Mặt 6,https://helvid.com/play/index/e43b7e2b3a44,phimle-master\tonghop\latmat6.html
